title,description,company,created_date
Manager – legal,"Want to be part of the most disruptive, innovative mobile commerce start-up in India with world-class team, long-term vision, and top global investors backing it up? Don’t just dream it. droom it! An ideal candidate will possess following: Prepare & file various legal documents & materials Drafting legal documents such as briefs, pleadings, appeals, contracts. Familiar with company law, labour law, Contract Laws Ability to follow established policies and procedures, as well as and problem solve and apply sound judgment when executing non-conforming transactions Adapt to changing business rules and environment Must thrive in a fast-paced, deadline-driven environment, while maintaining professional demeanour Strong interpersonal and communication skills. Ability to analyse case law and provide recommendations. Visibility requires maintaining a professional appearance and providing a positive company image to the public. This role requires working directly with senior management team Result oriented and ready to take ownership Desire to make impact and high work ethics",VIVO Healthcare,2 hours ago
Senior Manager or Director Finance,"An ideal candidate will possess following: A qualified CA with 2-5 years of experience in managing accounting and finance including receivables, payables, and reconciliations, preferably with an e-commerce or marketplace industry. This position is for a sr. manager finance and we can consider more senior candidates for a director of finance role. A qualified chartered account with strong background in accounting and finance with prior E-Commerce or the Internet industry background preferred but not required Monthly preparation of Books of Accounts, MIS, Monthly P&L and Balance Sheet, Monthly Cash Flow Statement and other reports as and when needed by Management Experience in managing external reporting, monthly management presentation and investors communication preferred Strong financial and analytics mindset and prior experience in working in chaotic, hyper growth and start-up environment preferred Dealing with ROC, RBI, & other legal & compliance Handling direct or indirect taxes Proficient in excel & other financial tools Coordinating with Management for Monthly and Annual Budgets, Provisions and analysis of Income and Expenditure, and unit cost analysis Monthly external reporting & communication with investors Excellent communication skills Ability to manage a team and cross group collaboration with marketing, business development and many other cost and profit centers Person will be responsible for Accounts Payable and Accounts Receivable Inclination towards Technology preferred",Amagi Media Labs,2 days ago
Assistant Manager-Finance,"Want to be part of the most disruptive, innovative mobile commerce start-up in India with world-class team, long-term vision, and top global investors backing it up? Don’t just dream it. droom it! An ideal candidate will possess following: A qualified Inter/CA with 1-3 years of experience in managing accounting and finance including receivables, payables and reconciliations, preferable. Prepare books of accounts, P&L, balance sheet and resulting management reporting on weekly and monthly basis. Proficiency in Microsoft Excel and other analytical tools. Good analytical and communication skills. Familiarity with Gap Accounting, transfer pricing and holding company and subsidiary relationships preferred but not required. Personnel will be responsible for Accounts Payable and Accounts Receivable. Reconciliation of statements including payment gateways, courier companies Experience in Vendor Payments management preferred. Inclination towards Technology – preferred. Strong Accounting & Auditing background preferred. Having prior experience in reporting and Analysis preferred. Cash Flow Statement and other reports as and when needed by Management. Coordinating with Management for Monthly and Annual Budgets, Provisions and analysis of Income and Expenditure, and unit cost analysis Ability to manage a team",Nirmal Lifestyles,1 months ago
Finance Analyst,"Want to be part of the most disruptive, innovative mobile commerce start-up in India with world-class team, long-term vision, and top global investors backing it up? Don’t just dream it. droom it! An ideal candidate will possess following: Data entry of all kinds of Vouchers in accounts using Tally ERP Package. Maintaining accounts books manually & computerized both. Employees claims of Corporate & reimbursement of Employees. Different kinds of Vendor reconciliation and TDS reconciliation & Filling the Quarter Return. Service Tax Calculation, Deposit and reconciliation along with filing half yearly return. Preparing different kinds of MIS reports like Ro & Corporate MIS for monthly expenditure, preparing receipt & payment, Journal & Contra Vouchers. Making payments to the vendors. Preparation the Cash flow & Collection report daily basic. Prepare financial statements schedules such as bank, inter-company and fixed assets reconciliation.",Healthkart,2 months ago
Analyst – Billing & Payment,"Want to be part of the most disruptive, innovative mobile commerce start-up in India with world-class team, long-term vision, and top global investors backing it up? Don’t just dream it. droom it! Primary responsibility for a finance analyst is to ensure timely and accurate payments to our merchants as per droom payment cycle and policies. The person should be a good people manager with a strong process orientation. He and his team will also be the primary contact for all billing and payment related issues and their resolution. He should have ability to work with the senior management to give feedback on the pain points of billing and payment processes so that it can be iteratively improved. He will be responsible for creation of Billing related MIS, Reporting and reconciliations for different stakeholders. An ideal candidate will possess following: Minimum 2 years of experience in billing & payment or finance in any retail/online/ecommerce industry. Creation of Payment Plan of various merchants as per payment guidance of the company Knowledge of Debtors & Creditors Reconciliation. Responsible for making clients &anp; key accounts bills & payment collection report, Entry in Software & Register, bills & payment follow-ups. Handling of Merchants other Payments. Knowledge of various TAX applicability on commercial transactions is preferable. Prepare and Analyze MIS reports to provide feedback to top management on financial performance and fund management. Working knowledge on tally software preferable. Knowledge of Account payable, bills payable, payment gateway of online (e-commerce) is desirable. Should have good working knowledge of excel & tally. droom offers competitive compensation, stock options, great learning & exposure, and merit based career path. Your career growth will be in your hands and your role will be what you carve out.",Droom,1 months ago
Category Manager,"Want to be part of the most disruptive, innovative mobile commerce start-up in India with world-class team, long-term vision, and top global investors backing it up? Don’t just dream it. droom it ! As a category manager you will be responsible for managing the category. In this role you will have P&L responsibility for the category. The role includes market analysis, competitive analysis, marketing sizing, inventory hole, pricing hole, merchant relationship, category merchandizing, and category issues management. An ideal candidate will possess following: Highly developed skills for problem solving and strategic thinking Handling end to end category management with full P&L responsibility. MBA from a top-tier school preferred Prior experience in competitive analysis and pricing is preferred. Excellent communication skills are a must Prior experience in E-Commerce industry preferred Prior experience in marketing and merchandising preferred Excellent grip on numbers and goals Someone with experience in automobile industry preferred. Attention to detail Ability to collaborate across departments Result oriented and ready to take ownership Desire to make impact and high work ethics This role requires working directly with senior management team",Droom,2 hours ago
Executive Assistant,"An ideal candidate will possess following: 5 to 7 years of experience as executive assistant in a multi national or other leading organization Prior experience in working with a CEO or C level executive Experience in e-commerce or Internet industry is preferred Experience in meeting coordination, travel management, Liaoning, calendar management, expenses management Excellent communication skills Proficiency in excel and basic computer tools Experience in project management is preferred Attention to detail and very high work ethics Result orientation and positive attitude Some who can deal with highly ambiguous and fast pasted technology type of environment",Healthkart,6 days ago
Engineering Associate Program,"Want to be a part of the most disruptive, innovative mobile commerce start-up in India with world-class team, long-term vision, and top global investors backing it up? Want to make an impact? Want to get 360-degree exposure, accelerated learning in a hot start-up, and use your skills and passion in a highly challenging environment? Overview Engineering Associate Program (EAP) is a leadership program at Droom Technology for engineering graduates. Through EAP, Droom allows fresh engineering graduates to work on various important and challenging roles at Droom with core leadership team and eventually take up leadership roles at Droom. This is a full-time job and offers a bright career track to be one of the future leaders at Droom. We will be providing unlimited growth opportunity, a fun start-up culture and an enriched training & development experience. Program Highlights India’s first and largest mobile marketplace to buy and sell used and new automobiles. Get 360-degree exposure of the functioning of Droom Work closely with core leadership team Get opportunity to be a future leader Stock options from the Singapore holding company A true Silicon Valley style start-up Disruptive & rebellious culture Push your limits & accelerated learning Highly innovative & disruptive product company Change how automobiles are bought and sold in India How does it work? Droom picks 20-30 engineering graduates from the leading Engineering programs across the globe to join Droom on full-time basis. These engineering graduates join Droom and start a four-month long training program, taking two assignments of two months each. Upon the completion of four months of EAP program, these graduates choose to work at Droom in one of the two areas of their rotation. Following functional areas are available in EAP program at Droom: Software Engineers IOS Developers Android Developers Dev Ops Analyst QA Analyst Data Scientist Product Management Program Management Database Administration Skills, Background, and Experience An ideal candidate will possess the following: An Engineering Degree or Masters/Phd in Engineering High energy, passion and entrepreneurialism Highly developed skills for problem solving and strategic thinking Engineering from a top-tier school Good communication skills Ready to live, breathe, sleep and dream Droom and mobile commerce Customer focused Ability to collaborate across various departments Ready to fold sleeves and do the work Experienced of taking initiatives and leadership Result oriented and ready to take ownership Long term approach Focus on deliverables and results vs. constraints, guidance or ambiguity. Prior experience in E-Commerce or Internet industry is preferred but not required Comfortable in working directly with senior management team Thrive in chaotic start-up environment and comfortable in dealing with ambiguity Always willing to solve tough problems and accept challenging assignments Quickly learn and contribute in a rapidly evolving environment Who Should Apply ? We are seeking applications from the fourth year Engineering students at premier engineering institutes globally or second year student of Masters in Engineering. At Droom, passion, energy, innovation, and customer centric approach are always welcomed. We are passionate about building mobile consumer centric technologies, enabling automobile sellers to sell online, and offering the world-class mobile shopping experience. Droom Culture Droom is non-formal, fun, collegial, non-hierarchical and high-energy environment. At Droom, you can deliver the best work of your career without having to worry about work politics, delays, biases or slowness. Why Droom ? You can do the best job of your life without having to worry about work politics, biases, favoritism and slowness Opportunity to work with the founder and the leadership team closely Make impact, push your limits and get new challenges every day Get opportunity to learn, evolve and develop in extremely fast evolving environment Be part of consumer Internet and mobile Commerce revolution in Gurgaon in a true Silicon Valley start-up Duration 4 months of rotation program followed by a permanent role. Start and end date depends on the college/universities schedule. Location Gurugram, Delhi NCR. Compensation Droom offers competitive compensation, stock options, great learning & exposure, and merit based career path. Your career growth will be in your hands and your role will be what you carve out. Contact Information email:eap@droom.in | careers@droom.in About Droom Droom is India's first and only online marketplace for buying and selling new and used automobiles. At over 65% of the automobile transactions market share online, Droom is the largest auto portal in India. Droom is not only the largest online automobile platform in India but also the 4th largest E-commerce company in India in terms of GMV. The automobile platform is category, seller, price, condition, and geography agnostic. Droom platform has four marketplace formats i.e. B2C, C2C, C2B and B2B, and three pricing formats - Fixed Price, Best Offer and Auction. The platform offers wide range of categories from bicycle to plane and all automobile services such as warranty, RSA, insurance and auto loan. Droom uses data science to build trust at scale with a US Patent technology called Full Circle Trust Score. Droom has also built the de-facto pricing standard for used vehicles in India – OBV, which has a US patent. Droom has built the entire ecosystem for India so that the transaction for used automobiles can take place with least degree of information asymmetry and morale hazard. It has built tech and data science heavy tools to create the entire ecosystem around used automobiles, including OBV (Pricing Engine), Eco (121 Points Vehicle Inspection), History (20 Cr Vehicle History Records), Discovery (dozens Of Pre-Buying Tools) and Credit (India's first and only marketplace for used vehicles loans). Droom is currently doing $626 Mil+ in annualized GMV growing at the rate of 350% Y/Y, 185K+ auto dealers (Largest Auto Dealer Platform in India), presence in 500+ cities across India (Largest Hyper Local Marketplace), 31.3 Mil+ monthly visitors, nearly 6.3 Mil+ app downloads and 5.5 Mil+ Facebook community. Droom has the best unit economics as compared to any other E-commerce platform in India. The company spends less than 5% of GMV to run marketing and the entire cost of the company is less than 4% of GMV in terms of the net burn. Droom is the only E-commerce platform which has successfully built the cost advantage and sophistication of the tech platforms with the strong data science layer, nobody else has been able to do it in India. Droom is founded by Sandeep Aggarwal, who previously founded ShopClues at his house in California in Oct 2010, which became 5th Unicorn in India by January 2016. Droom is a Singapore Holding Company with its subsidiary in India and United States. Droom has so far raised close to $95 million dollars in four rounds of funding. Droom is head quartered in Gurgaon, India with a team size of 270+. More Information About Droom For more details you can visit us at: droom.in/career www.facebook.com/droom.in https://twitter.com/letsdroom www.linkedin.com/company/droom-in http://www.pinterest.com/droom_in http://plus.google.com/+DroomIndia",SoftTech Engineers,just now
Analyst Program,"Want to be a part of the most disruptive, innovative mobile commerce start-up in India with world-class team, long-term vision, and top global investors backing it up? Want to make an impact? Want to get 360-degree exposure, accelerated learning in a hot start-up, and use your skills and passion in a highly challenging environment? Overview Analyst Program (AP) is a structured program at Droom Technology for fresh graduates. Through AP, Droom picks fresh graduates to work on various important and challenging roles at Droom with core leadership team and eventually take a permanent role at Droom or go back for Masters/Higher Studies. This is a full-time job and offers a bright career track to be one of the future leaders at Droom. We will be providing unlimited growth opportunity, a fun start-up culture and an enhance training & development experience. Program Highlights India’s most trusted motorplace to buy and sell used and new automobiles. 4 months of rotation program, followed by an impactful role Get 360-degree exposure of the functioning of Droom Work closely with core leadership team Get opportunity in leadership roles Stock options from the Singapore holding company A true Silicon Valley style start-up Disruptive & rebellious culture Push your limits & accelerated learning Highly innovative & disruptive product company How does it work? Droom picks 20-30 fresh graduates from the leading colleges across the globe to join Droom on full-time basis. These business graduates join Droom and start a four month long rotation program taking two assignments of two months each. Upon the completion of four months of AP program, these graduates can choose to work at Droom in one of the two areas of their rotation. Following functional areas are available in AP program at Droom: Marketing Business Development Category Management Strategy & Competitive Analysis Analytics Pricing Business Manager in CEO Office Finance or HR Operating Roles in Services e.g. Catalog, Customer Support Product Management Skills, Background, and Experience High energy, passion and entrepreneurialism Highly developed skills for problem solving and strategic thinking Fresh graduate from a top-tier school Excellent communication skills Ability to collect, analyze, and synthesize data and present it in actionable manner Customer focused Zeal to learn Ability to collaborate across departments Result oriented and ready to take ownership Long term approach Comfortable in working directly with senior management team Thrive in chaotic start-up environment and comfortable in dealing with ambiguity Always willing to solve tough problems and accept challenging assignments Quickly learn and contribute in a rapidly evolving environment Who Should Apply? We are seeking applications from the final year fresh graduates from premier institutes globally. At Droom, passion, energy, innovation, and customer centric approach are always welcomed. We are passionate about building mobile consumer centric technologies, enabling automobile sellers to sell online, and offering the world-class mobile shopping experience. Droom Culture Droom is informal, fun, collegial, non-hierarchical and high-energy environment. At Droom, you can deliver the best work of your career without having to worry about work politics, delays, biases or slowness. Why Droom? You can do the best job of your life without having to worry about work politics, biases, favoritism and slowness Opportunity to closely work with the founder and the leadership team Make impact, push your limits and get new challenges every day Get opportunity to learn, evolve and develop in an extremely fast evolving environment Be part of consumer Internet and mobile Commerce revolution in Gurgaon in a true Silicon Valley start-up Duration 4 months of rotation program followed by a permanent role. Start and end date depends on the college/universities schedule. Location Gurugram, Delhi NCR. Compensation Droom offers competitive compensation, stock options, great learning & exposure,and merit based career path. Your career growth will be in your hands and your role will be what you carve out. Contact Information email:ap@droom.in | careers@droom.in About Droom Droom is India's first and only online marketplace for buying and selling new and used automobiles. At over 65% of the automobile transactions market share online, Droom is the largest auto portal in India. Droom is not only the largest online automobile platform in India but also the 4th largest E-commerce company in India in terms of GMV. The automobile platform is category, seller, price, condition, and geography agnostic. Droom platform has four marketplace formats i.e. B2C, C2C, C2B and B2B, and three pricing formats - Fixed Price, Best Offer and Auction. The platform offers wide range of categories from bicycle to plane and all automobile services such as warranty, RSA, insurance and auto loan. Droom uses data science to build trust at scale with a US Patent technology called Full Circle Trust Score. Droom has also built the de-facto pricing standard for used vehicles in India – OBV, which has a US patent. Droom has built the entire ecosystem for India so that the transaction for used automobiles can take place with least degree of information asymmetry and morale hazard. It has built tech and data science heavy tools to create the entire ecosystem around used automobiles, including OBV (Pricing Engine), Eco (121 Points Vehicle Inspection), History (20 Cr Vehicle History Records), Discovery (dozens Of Pre-Buying Tools) and Credit (India's first and only marketplace for used vehicles loans). Droom is currently doing $626 Mil+ in annualized GMV growing at the rate of 350% Y/Y, 185K+ auto dealers (Largest Auto Dealer Platform in India), presence in 500+ cities across India (Largest Hyper Local Marketplace), 31.3 Mil+ monthly visitors, nearly 6.3 Mil+ app downloads and 5.5 Mil+ Facebook community. Droom has the best unit economics as compared to any other E-commerce platform in India. The company spends less than 5% of GMV to run marketing and the entire cost of the company is less than 4% of GMV in terms of the net burn. Droom is the only E-commerce platform which has successfully built the cost advantage and sophistication of the tech platforms with the strong data science layer, nobody else has been able to do it in India. Droom is founded by Sandeep Aggarwal, who previously founded ShopClues at his house in California in Oct 2010, which became 5th Unicorn in India by January 2016. Droom is a Singapore Holding Company with its subsidiary in India and United States. Droom has so far raised close to $95 million dollars in four rounds of funding. Droom is head quartered in Gurgaon, India with a team size of 270+. More Information About Droom For more details you can visit us at: droom.in/career www.facebook.com/droom.in https://twitter.com/letsdroom www.linkedin.com/company/droom-in http://www.pinterest.com/droom_in http://plus.google.com/+DroomIndia",Housing.com,2 months ago
Management Associate Program,"Want to be a part of the most disruptive, innovative mobile commerce start-up in India with world-class team, long-term vision, and top global investors backing it up? Want to make an impact? Want to get 360-degree exposure, accelerated learning in a hot start-up, and use your skills and passion in a highly challenging environment? Overview Management Associate Program (MAP) is a leadership program at Droom Technology for business graduates. Through MAP, Droom allows fresh business graduates (or MBA student with up to two years of experience) to work on various important and challenging roles at Droom with core leadership team, and eventually take up leadership roles at Droom. This is a full-time job and offers a bright career track to be one of future leaders at Droom. We will be providing unlimited growth opportunity, a fun start-up culture and enhanced training & development experience. Program Highlights India’s most trusted motorplace to buy and sell used and new automobiles. Four months of rotation program, followed by an impactful role Get 360-degree exposure of the functioning of Droom Work closely with core leadership team Get opportunity to be a future leader Stock options from the Singapore holding company A true Silicon Valley style start-up Disruptive & rebellious culture Push your limits & accelerated learning Highly innovative & disruptive product company Change how automobiles are bought and sold in India How does it work? Droom picks 20-30 business graduates from the leading MBA programs across the globe to join Droom on full-time basis. These business graduates join Droom and start a four- month long rotation program taking two assignments of two months each. Upon the completion of four months of MAP program, these graduates can choose to work at Droom in one of the two areas of their rotation. Following functional areas are available in MAP program at Droom: Marketing Business Development Product Management Strategy & Competitive Analysis Business Manager in CEO Office Finance or HR Operating Roles in Services e.g. Catalog, Customer Support Category Management Pricing Analytics Skills, Background, and Experience High energy, passion and entrepreneurialism Highly developed skills for problem solving and strategic thinking MBA from a top-tier school Excellent communication skills Ability to collect, analyze, and synthesize data and present it in actionable manner Customer focused Ability to collaborate across different departments Experienced in taking initiatives and leadership roles Result oriented and ready to take ownership Long term approach Prior experience in E-Commerce is preferred Comfortable in working directly with senior management team Thrive in chaotic start-up environment and comfortable in dealing with ambiguity Always willing to solve tough problems and accept challenging assignments Quickly learn and contribute in a rapidly evolving environment Who Should Apply? We are seeking applications from the second year MBA students from premier management institutes globally or with up to 2 years of experience post MBA. At Droom, passion, energy, innovation, and customer centric approach are always welcomed. We are passionate about building mobile consumer centric technologies, enabling automobile sellers to sell online, and offering the world-class mobile shopping experience. Droom Culture Droom is non-formal, fun, collegial, non-hierarchical and high-energy environment. At Droom, you can deliver the best work of your career without having to worry about work politics, delays, biases or slowness. Why Droom? You can do the best job of your life without having to worry about work politics, biases, favoritism and slowness Opportunity to closely work with the founder and the leadership team Make impact, push your limits and get new challenges every day Get opportunity to learn, evolve and develop in an extremely fast evolving environment Be part of consumer Internet and mobile Commerce revolution in Gurgaon in a true Silicon Valley start-up Duration 4 months of rotation program followed by a permanent role. Start and end date depends on the college/universities schedule. Location Gurugram, Delhi NCR. Compensation Droom offers competitive compensation, stock options, great learning & exposure, and merit based career path. Your career growth will be in your hands and your role will be what you carve out. Contact Information email:map@droom.in | careers@droom.in About Droom Droom is India's first and only online marketplace for buying and selling new and used automobiles. At over 65% of the automobile transactions market share online, Droom is the largest auto portal in India. Droom is not only the largest online automobile platform in India but also the 4th largest E-commerce company in India in terms of GMV. The automobile platform is category, seller, price, condition, and geography agnostic. Droom platform has four marketplace formats i.e. B2C, C2C, C2B and B2B, and three pricing formats - Fixed Price, Best Offer and Auction. The platform offers wide range of categories from bicycle to plane and all automobile services such as warranty, RSA, insurance and auto loan. Droom uses data science to build trust at scale with a US Patent technology called Full Circle Trust Score. Droom has also built the de-facto pricing standard for used vehicles in India – OBV, which has a US patent. Droom has built the entire ecosystem for India so that the transaction for used automobiles can take place with least degree of information asymmetry and morale hazard. It has built tech and data science heavy tools to create the entire ecosystem around used automobiles, including OBV (Pricing Engine), Eco (121 Points Vehicle Inspection), History (20 Cr Vehicle History Records), Discovery (dozens Of Pre-Buying Tools) and Credit (India's first and only marketplace for used vehicles loans). Droom is currently doing $626 Mil+ in annualized GMV growing at the rate of 350% Y/Y, 185K+ auto dealers (Largest Auto Dealer Platform in India), presence in 500+ cities across India (Largest Hyper Local Marketplace), 31.3 Mil+ monthly visitors, nearly 6.3 Mil+ app downloads and 5.5 Mil+ Facebook community. Droom has the best unit economics as compared to any other E-commerce platform in India. The company spends less than 5% of GMV to run marketing and the entire cost of the company is less than 4% of GMV in terms of the net burn. Droom is the only E-commerce platform which has successfully built the cost advantage and sophistication of the tech platforms with the strong data science layer, nobody else has been able to do it in India. Droom is founded by Sandeep Aggarwal, who previously founded ShopClues at his house in California in Oct 2010, which became 5th Unicorn in India by January 2016. Droom is a Singapore Holding Company with its subsidiary in India and United States. Droom has so far raised close to $95 million dollars in four rounds of funding. Droom is head quartered in Gurgaon, India with a team size of 270+. More Information About Droom For more details you can visit us at: droom.in/career www.facebook.com/droom.in https://twitter.com/letsdroom www.linkedin.com/company/droom-in http://www.pinterest.com/droom_in http://plus.google.com/+DroomIndia",VIVO Healthcare,2 hours ago
Director – Category Account Management,"Want to be part of the most disruptive, innovative mobile commerce start-up in India with world-class team, long-term vision, and top global investors backing it up? Don’t just dream it. droom it! We are looking for customer obsessed, data driven entrepreneurs to join our growing team. Solve some of the hardest problems for our customers. You will exhibit a strategic mindset focusing on longterm benefits for Droom and our partners, strong analytical as well as interpersonal skills with the ability to work in a fast-paced, innovative climate. The role will require expertise both in internal team project management as well as working with leaders at major companies to strengthen partner relations and obsess over customer experience. An ideal candidate will possess the following skills: 7 to 10 years of experience working in business development, marketing and customer and seller acquisition. Interacting with client/companies and Business Owners to analyse the business model. Meeting, connecting and presenting Droom as a platform to buyers &sellers Account management i.e. enabling sellers to increase their business Developing business plan and sales strategy for the market that ensures attainment of company revenue goals and profitability. Driving new processes conducive to expanding our online marketing capabilities and cross company awareness Strategies for increasing sales volume B2B, cross selling / up selling etc Responsible for understanding sellers overall strategic goals and translating these into strategies for consumer acquisition, conversion and retention Prior experience in E-commerce industry is preferred. Coordinating with appropriate teams to manage online advertising, banner campaigns, text links and social media programs for different sellers Monitoring of consumer industry and competitive behaviour Analyze app traffic and provide recommendations to respective teams Co-own the P&L, understand where opportunities are and create a viable business to service them Stay on top of trends in an ever-changing landscape, find opportunities and prioritize based on size, internal capabilities, etc. Responsible for sales targets, seller quality, seller order fulfillment and the overall customer experience MBA from a top-tier school with an engineering degree preferred Performance management and mentoring of his/her team members Excellent Communication Skills Highly analytical Ability to collaborate across departments Result oriented and ready to take ownership Desire to make impact and high work ethics This role requires working directly with senior management team",SoftTech Engineers,2 hours ago
Sr. Director / AVP – Partnership and Alliances,"Want to be part of the most disruptive, innovative mobile commerce start-up in India with world-class team, long-term vision, and top global investors backing it up? Don’t just dream it. droom it! We are looking for a young and energetic person who can establish C-Level relationships with prospective partners and drive all stages of the partner life cycle. Someone who will be responsible for building value for the company through mutually beneficial partnerships. Dynamic and outgoing person with ability to network and build strong business relationships. An ideal candidate will possess the following skills: Well proven track record of 8 - 12 years in managing Business Development and Strategic Alliances with experience in identifying and creating well-qualified opportunities Prospect relentlessly to build a pipeline of opportunities aligned to agreed strategic direction, via the leveraging of existing strong relationships with decision makers and influencers, along with the formation of new such relationships Experience in securing, sustaining and growing external partnerships across numerous business entities through negotiations, management and value creation Experience in identifying and creating well-qualified opportunities through their professional network Ability to create thoughtful and compelling business cases highlighting revenue growth opportunities with demonstrated ability to build significant revenue stream through strategic alliance partners Ability to drive all strategic alliances & partnerships for Droom end to end Support the alliances team in developing proposals, making presentations and negotiating business deal points to contract completion that provide the optimal solution for each partner Communicate with and convince prospective partners on the value proposition Ability to effectively influence, collaborate and work with diverse stakeholders and internal teams Performance management and mentoring of his/her team members Exceptional presentation and negotiation skills and positive professional attitude Worked in Ecommerce / digital business will be highly preferred A person with great communication skills who is efficient, diligent & willing to go the extra mile. MBA from a top-tier school preferred Excellent Communication Skills Highly analytical Ability to collaborate across departments Result oriented and ready to take ownership Desire to make impact and high work ethics",Money On Mobile,1 months ago
Sr. Director / AVP – Acquisition,"Want to be part of the most disruptive, innovative mobile commerce start-up in India with world-class team, long-term vision, and top global investors backing it up? Don’t just dream it. droom it! We are looking for customer obsessed, data driven entrepreneurs to join our growing team. You will exhibit a strategic mindset focusing on long-term benefits for Droom and our partners, strong analytical as well as interpersonal skills with the ability to work in a fast-paced, innovative climate. Dynamic and outgoing person with ability to network and build strong business relationships. An ideal candidate will possess the following skills: 8 to 12 years of experience working in business development, marketing and customer and seller acquisition and seller onboarding. Candidate having exposure in E Commerce sector would be preferable. Interacting with client/companies and business owners to analyse the business model. Meeting, connecting and presenting Droom as a platform to buyers &sellers Account management i.e. enabling sellers to increase their business Developing business plan and sales strategy for the market that ensures attainment of company revenue goals and profitability. Driving new processes conducive to expanding our online marketing capabilities and cross company awareness Strategies for increasing sales volume B2B, cross selling / up selling etc. Responsible for understanding sellers overall strategic goals and translating these into strategies for consumer acquisition, conversion and retention Prior experience in E-commerce industry is preferred Coordinating with appropriate teams to manage online advertising, banner campaigns, text links and social media programs for different sellers Monitoring of consumer industry and competitive behaviour Analyse app traffic and provide recommendations to respective teams Co-own the P&L, understand where opportunities are and create a viable business to service them Stay on top of trends in an ever-changing landscape, find opportunities and prioritize based on size, internal capabilities, etc Responsible for sales targets, seller quality, seller order ful fillment and the overall customer experience MBA from a top-tier school with an engineering degree preferred Performance management and mentoring of his/her team members Excellent communication skills Highly analytical Ability to collaborate across departments Result oriented and ready to take ownership Desire to make impact and high work ethics",NoBroker,2 hours ago
Director/Associate Director – International Business Development,"Want to be part of the most disruptive, innovative mobile commerce start-up in India with world-class team, long-term vision, and top global investors backing it up? Don’t just dream it. droom it! If you're looking for an exciting, results-driven, growth-oriented role that calls upon all the skills and experience you have in the locker, then please read on. We are looking for a young and energetic person who can program manage the International expansion. An ideal candidate will possess the following experience and skills: Well proven track record of 3-6 years in managing Business Development, Strategic Alliances, new market development, with experience in identifying and unleashing key opportunities. Ability to effectively influence, collaborate and work with diverse stakeholders and internal teams Highly analytical with exceptional presentation and negotiation skills and a positive professional attitude Consulting/Ecommerce / digital experience preferred MBA from a top-tier school",Amagi Media Labs,6 days ago
Manager – Enterprise Sales,"Want to be part of the most disruptive, innovative mobile commerce start-up in India with world-class team, long-term vision, and top global investors backing it up? Don’t just dream it. droom it! As an Enterprise Sales Manager you will have the exciting opportunity to help drive the growth and shape the future of an emerging technology. Your responsibilities will include acquiring enterprise accounts and driving revenue, adoption, and market penetration. You should also be a self-starter who is prepared to develop and execute on a client acquisition/ coverage plan and consistently deliver on revenue targets. An ideal candidate will possess the following skills: Leading client engagement and identify opportunities of increasing sales at Droom.in and improving profitability. Handle client requirements around bulk buying and bulk selling of vehicles, insurance, loans, certification services, accessories, etc. Staying current with changes and developments in client’s industry so that opportunities and threats are pre-empted and addressed. 4 to 8 years of experience in enterprises sales, partnerships or consultative selling. Should hold MBA degree from a Tier 1 or Tier 2 business school. Experience in negotiating business terms and conditions while working with corporate clients to close partnerships or strategic alliances agreements. Creating and implementing monthly business development and sales plan and managing a strong relationship with clients. Prospecting, identifying, targeting, strategizing and implementing partnerships and key alliances with various companies/brands/events for client acquisitions and revenue generation. The ability to create thoughtful and compelling business cases highlighting revenue growth opportunities with demonstrated ability to build significant revenue stream through strategic alliance partners. Ability to effectively manage pipeline growth, working with product and implementation teams through multi-tier sales engagements. Excellent presentation skills, with proven ability at effectively making formal and informal presentations to all levels of management. Should be comfortable with numbers. Excellent written, verbal and communication skills. Result oriented and ready to take ownership. Desire to make impact and high work ethics. Ability to collaborate across departments.",Droom,2 hours ago
Manager – DFS,"Want to be part of the most disruptive, innovative mobile commerce start-up in India with world-class team, long-term vision, and top global investors backing it up? Don’t just dream it. droom it! We are looking for Manager – DFS. Your responsibilities will include acquiring enterprise accounts and driving revenue, adoption, and market penetration. You should also be a self-starter who is prepared to develop and execute on a client acquisition/ coverage plan and consistently deliver on revenue targets. An ideal candidate will possess the following skills: Ability to drive revenue generation through strategic alliances and partnership with clients having and operating vehicle fleets. Leading client engagement and identify opportunities of increasing sales at Droom.in and improving profitability Handle client requirements around bulk buying and bulk selling of vehicles, insurance, loans, certification services, accessories, etc. Staying current with changes and developments in client’s industry so that opportunities and threats are pre-empted and addressed. 4 to 8 years of experience in enterprises sales, partnerships or consultative selling. Should hold MBA degree from a Tier 1 or Tier 2 business school. Experience in negotiating business terms and conditions while working with corporate clients to close partnerships or strategic alliances agreements. Creating and implementing monthly business development and sales plan and managing a strong relationship with clients. Prospecting, identifying, targeting, strategizing and implementing partnerships and key alliances with various companies/brands/events for client acquisitions and revenue generation. The ability to create thoughtful and compelling business cases highlighting revenue growth opportunities with demonstrated ability to build significant revenue stream through strategic alliance partners. Ability to effectively manage pipeline growth, working with product and implementation teams through multi-tier sales engagements. Excellent presentation skills, with proven ability at effectively making formal and informal presentations to all levels of management. Should be comfortable with numbers. Excellent written, verbal and communication skills. Result oriented and ready to take ownership. Desire to make impact and high work ethics. Ability to collaborate across departments.",Droom,6 days ago
